"Bydgoszcz","53.1342","17.9943","294.4","29","1022","9.26","90","1683899581","4.33","4.79","205.28","0.15","1.33","111.58","2.89","1.01","293.27","21","1022","6.69","110","4.7","5.32","211.95","0.42","3.3","107.29","3.87","1.52"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","293.83","27","1022","6.69","100","1683902636","4.22","4.75","203.61","0.2","1.63","111.58","2.86","1.03","292.15","24","1022","5.14","130","5.27","6.69","226.97","0.11","6.08","98.71","6.91","2.47"
"Bydgoszcz","53.1342","17.9943","294.37","27","1022","6.69","100","1683903182","4.18","4.63","203.61","0.18","1.32","110.15","2.68","1.06","292.27","24","1022","5.14","130","5.49","6.55","223.64","0.46","5.91","98.71","6.02","2.22"
"Bydgoszcz","53.1342","17.9943","286.26","97","1004","2.06","190","1684180690","9.96","10.85","226.97","0","6","48.64","2.77","1.44","285.19","98","1004","4.12","220","6.63","7","200.27","0","2.42","44.7","0.87","1.24"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","286.1","97","1004","2.06","190","1684180696","11.3","12.36","257.02","0","11.82","47.21","7.63","0.95","285.07","97","1004","4.12","220","7.62","8.07","208.62","0","3.51","43.99","1.49","1.08"
"Bydgoszcz","53.1342","17.9943","285.66","99","1004","4.63","260","1684184290","9.74","10.56","220.3","0","4.5","46.49","2","1.46","285.19","96","1004","4.63","230","6.2","6.45","196.93","0","2.1","46.49","0.77","1.03"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","285.58","99","1004","4.63","260","1684184296","10.53","11.25","236.99","0","8.05","46.49","4.23","0.93","285.07","97","1004","4.63","230","6.46","6.78","200.27","0","2.74","44.7","1.19","0.9"
"Bydgoszcz","53.1342","17.9943","285.33","98","1004","4.63","250","1684187890","8.28","8.87","210.29","0","3.26","45.78","1.31","1.47","284.6","96","1004","4.63","230","6.5","6.71","200.27","0","1.99","51.5","0.81","0.91"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","285.26","97","1004","4.63","250","1684187896","9.35","9.98","220.3","0","4.97","45.78","2.21","1.12","284.53","96","1004","4.63","230","6.44","6.71","200.27","0","2.51","48.64","1.12","0.81"
"Bydgoszcz","53.1342","17.9943","285.19","98","1004","4.12","220","1684191490","6.63","7","200.27","0","2.42","44.7","0.87","1.24","284.46","96","1004","6.17","250","6.29","6.48","201.94","0","1.82","55.08","0.82","0.9"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","285.07","97","1004","4.12","220","1684191497","7.62","8.07","208.62","0","3.51","43.99","1.49","1.08","284.35","97","1004","6.17","250","6.39","6.63","203.61","0","2.38","53.64","1.15","0.79"
"Bydgoszcz","53.1342","17.9943","285.19","96","1004","4.63","230","1684195090","6.2","6.45","196.93","0","2.1","46.49","0.77","1.03","284.26","69","1005","7.2","270","5.16","5.35","200.27","0","1.59","57.22","0.66","0.9"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","285.07","97","1004","4.63","230","1684195096","6.46","6.78","200.27","0","2.74","44.7","1.19","0.9","284.19","66","1005","7.2","270","5.28","5.5","201.94","0","2.08","57.94","1.01","0.78"
"Bydgoszcz","53.1342","17.9943","284.6","96","1004","4.63","230","1684198690","6.5","6.71","200.27","0","1.99","51.5","0.81","0.91","284.46","72","1006","5.14","270","4.75","4.96","196.93","0.01","1.59","61.51","0.55","0.88"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","284.53","96","1004","4.63","230","1684198696","6.44","6.71","200.27","0","2.51","48.64","1.12","0.81","284.34","68","1006","5.14","270","4.49","4.7","200.27","0","1.97","64.37","0.89","0.74"
"Bydgoszcz","53.1342","17.9943","284.46","96","1004","6.17","250","1684202291","6.29","6.48","201.94","0","1.82","55.08","0.82","0.9","284.46","75","1007","6.69","270","5.23","5.47","196.93","0.05","1.74","67.23","0.63","0.82"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","284.35","97","1004","6.17","250","1684202297","6.39","6.63","203.61","0","2.38","53.64","1.15","0.79","284.36","73","1007","6.69","270","5.02","5.26","200.27","0.03","2.49","68.67","1.16","0.68"
"Bydgoszcz","53.1342","17.9943","284.26","69","1005","7.2","270","1684205891","5.16","5.35","200.27","0","1.59","57.22","0.66","0.9","285.52","81","1008","7.2","270","5.91","6.19","198.6","0.09","1.71","72.96","0.74","0.82"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","284.19","66","1005","7.2","270","1684205896","5.28","5.5","201.94","0","2.08","57.94","1.01","0.78","285.4","79","1008","7.2","270","5.69","5.98","201.94","0.09","2.7","73.67","1.31","0.71"
"Bydgoszcz","53.1342","17.9943","284.46","72","1006","5.14","270","1684209491","4.75","4.96","196.93","0.01","1.59","61.51","0.55","0.88","286.06","82","1008","7.72","270","5.11","5.37","198.6","0.09","1.54","79.39","0.77","0.94"
"BydgoszczParkPrzemyslowy","53.0841","18.0689","284.34","68","1006","5.14","270","1684209496","4.49","4.7","200.27","0","1.97","64.37","0.89","0.74","286.07","81","1008","7.72","270","4.93","5.22","201.94","0.14","2.51","78.68","1.39","0.88"
"Bydgoszcz","53.1342","17.9943","284.46","75","1007","6.69","270","1684213091","5.23","5.47","196.93","0.05","1.74","67.23","0.63","0.82","286.65","80","1010","5.66","280","6.83","7.13","196.93","0.12","1.19","84.4","0.79","1.01"
